VARIABLES = "X", "Y", "xhi_csi", "xhi_eta", "xhj_csi", "xhj_eta", "JacobianHi", "JacobianHj"
ZONE I=161, J=60, F=POINT
2.755371 0.348529 130.000361 -0.384167 37.236629
2.599568 0.323975 150.408114 -0.545569 43.284298
2.455080 0.301209 173.942901 -0.757122 50.339342
2.321124 0.280084 201.093977 -1.021951 58.578243
2.196977 0.260453 232.422465 -1.337100 68.212429
2.081973 0.242175 268.642838 -1.701285 79.495175
1.975494 0.225111 310.642859 -2.094407 92.730558
1.876968 0.209129 359.572743 -2.484863 108.288998
1.785870 0.194109 416.900360 -2.844880 126.622503
1.701711 0.179942 484.549482 -3.126123 148.285878
1.624040 0.166538 564.997118 -3.292895 173.968465
1.552439 0.153826 661.460738 -3.333013 204.534846
1.486521 0.141751 778.085020 -3.234160 241.080439
1.425929 0.130274 920.081907 -3.066607 285.006510
1.370333 0.119368 1094.437231 -2.935327 338.138137
1.319430 0.109010 1310.027014 -3.018021 402.868508
1.272942 0.099182 1578.985721 -3.685755 482.412525
1.230616 0.089864 1917.807491 -5.445036 581.177780
1.192224 0.081034 2349.106225 -9.260261 705.292301
1.157560 0.072665 2905.157320 -16.750347 863.527509
1.126441 0.064731 3633.860412 -31.134987 1068.773296
1.098704 0.057198 4605.124226 -57.974867 1340.535739
1.074208 0.050033 5928.176087 -109.115962 1709.483379
1.052833 0.043199 7774.385027 -209.610056 2224.871311
1.034471 0.036649 10411.626843 -413.468182 2966.836984
1.019018 0.030324 14258.990661 -841.977297 4059.813106
1.006340 0.024121 19876.940055 -1745.308543 5652.728861
0.996218 0.017837 27562.407854 -3497.320717 7756.452584
0.988289 0.011098 36240.509376 -6103.865484 9983.877056
0.982160 0.003504 46966.745715 -10228.340106 11804.052672
20.606098 3.999352 1.543224 0.000796 0.471934
19.178390 3.714098 1.789324 0.000887 0.507392
17.852245 3.449217 2.074637 0.000995 0.588101
16.620443 3.203244 2.405413 0.001122 0.681651
15.476277 2.974823 2.788895 0.001274 0.790085
14.413514 2.762695 3.233509 0.001459 0.915770
13.426367 2.565691 3.748962 0.001676 1.061453
12.509457 2.382730 4.346598 0.001934 1.230316
11.657790 2.212805 5.039521 0.002252 1.426051
10.866728 2.054984 5.842915 0.002615 1.652935
10.131960 1.908403 6.774461 0.003047 1.915934
9.449486 1.772258 7.854547 0.003543 2.220806
8.815587 1.645806 9.107038 0.004131 2.574226
8.226813 1.528356 10.559415 0.004766 2.983942
7.679956 1.419265 12.243494 0.005478 3.458947
7.172040 1.317941 14.196607 0.006175 4.009688
6.700299 1.223831 16.461456 0.006882 4.648270
6.262164 1.136424 19.088101 0.007469 5.388785
5.855253 1.055246 22.134036 0.007734 6.247593
5.477349 0.979856 25.666200 0.007455 7.243690
5.126396 0.909848 29.762231 0.006268 8.399222
4.800485 0.844844 34.511840 0.003386 9.739940
4.497842 0.784493 40.017552 -0.001698 11.295798
4.216821 0.728472 46.400178 -0.010887 13.101796
3.955894 0.676481 53.796496 -0.025691 15.198641
3.713639 0.628239 62.364627 -0.048633 17.633902
3.488741 0.583489 72.285413 -0.083864 20.463446
3.279977 0.541989 83.765421 -0.136282 23.752263
3.086211 0.503513 97.041119 -0.211796 27.576832
2.906392 0.467850 112.379658 -0.319393 32.026984
2.739543 0.434796 130.085535 -0.466692 37.208439
2.584761 0.404160 150.508877 -0.665603 43.245960
2.441208 0.375754 174.045171 -0.923706 50.287047
2.308110 0.349394 201.159696 -1.247386 58.507151
2.184752 0.324901 232.406422 -1.639211 68.115054
2.070472 0.302097 268.477729 -2.086618 79.361005
1.964661 0.280809 310.214706 -2.567806 92.545917
1.866756 0.260871 358.736306 -3.049126 108.033577
1.776236 0.242132 415.499201 -3.480289 126.267508
1.692620 0.224455 482.371363 -3.807225 147.792522
1.615462 0.207727 561.871223 -3.984691 173.281675
1.544346 0.191858 657.201068 -3.971263 203.575482
1.478889 0.176780 772.372238 -3.796224 239.736549
1.418732 0.162447 912.729429 -3.496716 283.112805
1.363545 0.148824 1084.914483 -3.235397 335.460491
1.313024 0.135886 1297.703000 -3.204287 399.058675
1.266888 0.123609 1562.871914 -3.801275 476.942468
1.224884 0.111968 1895.881356 -5.615746 573.237448
1.186781 0.100936 2319.079683 -9.744471 693.592606
1.152372 0.090479 2862.537264 -17.970727 845.964173
1.121471 0.080560 3570.844467 -33.654463 1041.812030
1.093914 0.071138 4509.034488 -62.939357 1298.016462
1.069555 0.062167 5776.058850 -117.661896 1639.877056
1.048266 0.053596 7520.444244 -221.944331 2105.845408
1.029929 0.045364 9970.956047 -424.803903 2753.185663
1.014426 0.037389 13453.844102 -825.047657 3658.928930
1.001614 0.029541 18325.459863 -1593.840880 4892.174609
0.991290 0.021605 24671.752200 -2918.522277 6427.481810
0.983190 0.013280 31735.974043 -4682.983579 8157.080220
0.977129 0.004470 40114.069393 -7233.514843 9463.750177
20.433583 4.785630 1.543225 0.000932 0.471912
19.018199 4.444310 1.789314 0.001038 0.507369
17.703496 4.127366 2.074612 0.001162 0.588075
16.482317 3.833046 2.405367 0.001313 0.681622
15.348014 3.559728 2.788834 0.001492 0.790052
14.294410 3.305904 3.233396 0.001704 0.915732
13.315766 3.070179 3.748822 0.001957 1.061406
12.406751 2.851256 4.346406 0.002261 1.230260
11.562416 2.647932 5.039247 0.002623 1.425982
10.778160 2.459092 5.842552 0.003047 1.652848
10.049712 2.283701 6.773983 0.003549 1.915824
9.373105 2.120799 7.854045 0.004137 2.220664
8.744655 1.969494 9.106367 0.004782 2.574042
8.160938 1.828960 10.558593 0.005524 2.983700
7.618776 1.698430 12.242659 0.006311 3.458631
7.115217 1.577191 14.195516 0.007185 4.009271
6.647521 1.464585 16.460387 0.007950 4.647715
6.213140 1.359998 19.086716 0.008579 5.388050
5.809711 1.262864 22.133021 0.008888 6.246607
5.435037 1.172655 25.665527 0.008506 7.242390
5.087080 1.088884 29.762157 0.007135 8.397485
4.763945 1.011098 34.512586 0.003929 9.737600
4.463876 0.938880 40.021253 -0.002301 11.292684
4.185237 0.871839 46.406803 -0.012619 13.097606
3.926515 0.809618 53.808713 -0.029772 15.193024
3.686300 0.751881 62.383247 -0.056744 17.626418
3.463286 0.698320 72.315007 -0.097396 20.453348
3.256260 0.648646 83.811019 -0.158285 23.738637
3.064097 0.602589 97.104219 -0.246996 27.558464
2.885752 0.559897 112.465338 -0.372667 32.002233
2.720259 0.520328 130.193060 -0.546517 37.175045
2.566721 0.483653 150.628964 -0.781160 43.200562
2.424309 0.449650 174.168040 -1.088600 50.225352
2.292257 0.418100 201.252334 -1.477547 58.423016
2.169857 0.388789 232.412556 -1.946256 67.999904
2.056458 0.361503 268.294585 -2.485867 79.202720
1.951459 0.336036 309.720336 -3.070219 92.327805
1.854306 0.312186 357.739019 -3.645741 107.732409
1.764488 0.289769 413.803224 -4.154445 125.850327
1.681531 0.268620 479.797247 -4.520876 147.212085
1.604996 0.248599 558.160581 -4.686834 172.472739
1.534473 0.229598 652.053144 -4.623940 202.447578
1.469578 0.211538 765.568960 -4.317013 238.159175
1.409955 0.194363 903.868534 -3.854999 280.900802
1.355270 0.178035 1073.519788 -3.354667 332.337294
1.305219 0.162526 1283.101589 -3.151336 394.628543
1.259518 0.147807 1543.753338 -3.576242 470.618971
1.217912 0.133851 1870.518533 -5.358799 564.100629
1.180168 0.120621 2283.773084 -9.599439 680.227791
1.146077 0.108079 2812.776823 -18.166795 826.114475
1.115451 0.096177 3498.693781 -34.359927 1011.698817
1.088124 0.084864 4400.182505 -64.448928 1251.217273
1.063948 0.074081 5605.396547 -119.780792 1565.053199
1.042789 0.063764 7244.989363 -222.254368 1982.221252
1.024524 0.053834 9505.400933 -413.142223 2542.049017
1.009030 0.044190 12632.912210 -767.501206 3290.420848
0.996169 0.034690 16872.994351 -1397.812749 4259.907753
0.985777 0.025132 22220.932017 -2385.889273 5442.608845
0.977692 0.015329 28091.693856 -3593.269918 6909.876908
0.971846 0.005472 34822.618067 -5226.659342 7993.891484
20.230332 5.564529 1.543226 0.001066 0.471886
18.829466 5.167673 1.789300 0.001188 0.507342
17.528242 4.799158 2.074581 0.001331 0.588045
16.319579 4.456948 2.405313 0.001502 0.681589
15.196897 4.139156 2.788747 0.001706 0.790014
14.154082 3.844031 3.233276 0.001949 0.915687
13.185456 3.569949 3.748645 0.002239 1.061354
12.285743 3.315403 4.346171 0.002590 1.230196
11.450045 3.078995 5.038958 0.002992 1.425902
10.673808 2.859428 5.842212 0.003477 1.652749
9.952806 2.655498 6.773572 0.004051 1.915699
9.283113 2.466088 7.853413 0.004704 2.220500
8.661080 2.290163 9.105647 0.005465 2.573828
8.083322 2.126761 10.557689 0.006294 2.983423
7.546691 1.974990 12.241580 0.007230 3.458268
7.048268 1.834023 14.194319 0.008133 4.008788
6.585337 1.703091 16.458887 0.009054 4.647076
6.155378 1.581484 19.085558 0.009802 5.387201
5.756053 1.468539 22.131420 0.010156 6.245480
5.385185 1.363646 25.664665 0.009871 7.240885
5.040759 1.266237 29.762233 0.008197 8.395491
4.720897 1.175785 34.514514 0.004758 9.734923
4.423860 1.091803 40.025278 -0.001994 11.289091
4.148031 1.013840 46.415053 -0.013661 13.092789
3.891909 0.941477 53.822279 -0.033018 15.186559
3.654098 0.874327 62.406618 -0.062853 17.617789
3.433307 0.812029 72.351015 -0.109247 20.441716
3.228332 0.754248 83.861487 -0.178258 23.723005
3.038059 0.700673 97.178188 -0.279028 27.537472
2.861454 0.651010 112.564938 -0.422469 31.973866
2.697560 0.604981 130.324009 -0.623656 37.136677
2.545489 0.562321 150.786462 -0.895975 43.148602
2.404421 0.522772 174.330489 -1.254782 50.154641
2.273599 0.486083 201.382694 -1.710650 58.326599
2.152326 0.452006 232.437387 -2.267162 67.868204
2.039960 0.420292 268.109598 -2.906368 79.021709
1.935911 0.390699 309.165381 -3.598233 92.078379
1.839638 0.362991 356.633935 -4.279945 107.388356
1.750641 0.336946 411.877872 -4.871267 125.373723
1.668457 0.312368 476.740391 -5.281309 146.550601
1.592654 0.289092 553.716219 -5.425430 171.551908
1.522827 0.266991 645.994206 -5.254800 201.164763
1.458597 0.245973 757.624858 -4.779584 236.369451
1.399606 0.225975 893.674217 -4.072147 278.395725
1.345520 0.206957 1060.576921 -3.338966 328.814380
1.296028 0.188887 1266.458093 -2.808141 389.650590
1.250847 0.171736 1522.074324 -2.982755 463.541455
1.209717 0.155472 1841.827441 -4.558895 553.946599
1.172403 0.140053 2244.861545 -8.600498 665.499657
1.138696 0.125431 2758.209788 -17.070026 804.452078
1.108407 0.111549 3418.868067 -33.270516 979.297364
1.081366 0.098346 4281.557417 -62.828557 1201.742800
1.057425 0.085749 5423.098077 -116.135426 1487.798335
1.036449 0.073679 6954.563359 -212.014170 1858.687583
1.018314 0.062043 9028.178245 -384.540464 2340.807031
1.002900 0.050726 11835.786774 -687.334434 2961.379598
0.990087 0.039582 15535.993650 -1188.709099 3739.151772
0.979759 0.028450 20094.967831 -1919.530915 4697.104100
0.971833 0.017280 25091.359134 -2746.229903 6014.793054
0.966300 0.006513 30565.681673 -3807.732198 6999.240493
